,species,lat,long
1366,"Phlebotomus neglectus Tonnoir, 1921",36.5981,27.1764
1368,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.5981,27.1764
1370,"Phlebotomus simici Nitzulescu, 1931",36.5981,27.1764
1372,"Phlebotomus similis Perfil'ev, 1963",36.5981,27.1764
1373,"Phlebotomus neglectus Tonnoir, 1921",36.5919,27.1727
1374,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.5919,27.1727
1375,"Phlebotomus simici Nitzulescu, 1931",36.5919,27.1727
1377,"Phlebotomus neglectus Tonnoir, 1921",36.5963,27.1752
1379,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.5963,27.1752
1381,"Phlebotomus simici Nitzulescu, 1931",36.5963,27.1752
1383,"Phlebotomus simici Nitzulescu, 1931",36.5905,27.1895
1385,"Phlebotomus simici Nitzulescu, 1931",36.5742,27.1778
1386,"Phlebotomus simici Nitzulescu, 1931",36.6187,27.1807
1387,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.6099,27.1936
1389,"Phlebotomus simici Nitzulescu, 1931",36.6099,27.1936
1391,"Phlebotomus similis Perfil'ev, 1963",36.6099,27.1936
1392,"Phlebotomus neglectus Tonnoir, 1921",36.6176,27.187
1394,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.6176,27.187
1395,"Phlebotomus simici Nitzulescu, 1931",36.6176,27.187
1397,"Phlebotomus similis Perfil'ev, 1963",36.6176,27.187
1399,"Phlebotomus neglectus Tonnoir, 1921",36.5856,27.1934
1401,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.5856,27.1934
1403,"Phlebotomus simici Nitzulescu, 1931",36.5856,27.1934
1405,"Phlebotomus similis Perfil'ev, 1963",36.5856,27.1934
1406,"Phlebotomus neglectus Tonnoir, 1921",36.5877,27.1955
1408,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.5877,27.1955
1409,"Phlebotomus simici Nitzulescu, 1931",36.5877,27.1955
1411,"Phlebotomus neglectus Tonnoir, 1921",36.5849,27.1939
1413,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.5849,27.1939
1415,"Phlebotomus simici Nitzulescu, 1931",36.5849,27.1939
1417,"Phlebotomus similis Perfil'ev, 1963",36.5849,27.1939
1419,"Phlebotomus neglectus Tonnoir, 1921",36.5718,27.1833
1420,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.5718,27.1833
1421,"Phlebotomus simici Nitzulescu, 1931",36.5718,27.1833
1423,"Phlebotomus neglectus Tonnoir, 1921",36.5697,27.1812
1424,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.5697,27.1812
1426,"Phlebotomus simici Nitzulescu, 1931",36.5697,27.1812
1428,"Phlebotomus neglectus Tonnoir, 1921",36.5673,27.1807
1429,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.5673,27.1807
1431,"Phlebotomus simici Nitzulescu, 1931",36.5673,27.1807
1433,"Phlebotomus neglectus Tonnoir, 1921",36.5742,27.1771
1434,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.5742,27.1771
1435,"Phlebotomus simici Nitzulescu, 1931",36.5742,27.1771
1436,"Phlebotomus neglectus Tonnoir, 1921",36.5749,27.1777
1438,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.5749,27.1777
1439,"Phlebotomus simici Nitzulescu, 1931",36.5749,27.1777
1441,"Phlebotomus similis Perfil'ev, 1963",36.5749,27.1777
1442,"Phlebotomus simici Nitzulescu, 1931",36.5741,27.1807
1443,"Phlebotomus neglectus Tonnoir, 1921",36.6033,27.1773
1445,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.6033,27.1773
1446,"Phlebotomus neglectus Tonnoir, 1921",36.6045,27.177
1447,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.6045,27.177
1449,"Phlebotomus simici Nitzulescu, 1931",36.6045,27.177
1451,"Phlebotomus simici Nitzulescu, 1931",36.6131,27.139
